Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
4617.0,1.6819600000000001e-29,-7.9909499999999995e-26,-7.9918499999999997e-26,-7.9909999999999996e-26,-6.9569700000000002e-30,-2.3000100000000001e-30,3.8613799999999997e-30
4618.0,1.5681200000000001e-29,-7.9912199999999998e-26,-7.9922200000000002e-26,-7.9911900000000004e-26,-6.4945199999999996e-30,-1.2966500000000001e-30,1.89668e-30
4619.0,1.6392300000000001e-29,-7.9908899999999996e-26,-7.9919699999999996e-26,-7.9908299999999996e-26,-6.8628900000000007e-30,-8.8471700000000003e-31,8.4125399999999995e-31
4620.0,1.47757e-29,-7.9913200000000001e-26,-7.9924699999999998e-26,-7.9911500000000001e-26,-4.4829600000000001e-30,1.79509e-31,-1.2170000000000001e-30
4621.0,2.1840100000000001e-29,-7.9921700000000001e-26,-7.9921000000000004e-26,-7.9922800000000002e-26,-6.8726500000000006e-30,-4.2532500000000001e-30,9.6366699999999997e-30
4622.0,1.8957599999999999e-29,-7.9922499999999996e-26,-7.9922800000000002e-26,-7.9922999999999998e-26,-6.6839499999999996e-30,-3.4504399999999999e-30,7.9458300000000006e-30
4623.0,1.6698599999999999e-29,-7.9920500000000002e-26,-7.9921399999999996e-26,-7.9920799999999996e-26,-6.54878e-30,-2.8529499999999998e-30,6.4599300000000004e-30
4624.0,1.43452e-29,-7.9922599999999994e-26,-7.9924099999999999e-26,-7.9922499999999996e-26,-6.4397099999999994e-30,-2.1259099999999999e-30,4.6758299999999997e-30
4625.0,1.2821699999999999e-29,-7.9920500000000002e-26,-7.9922499999999996e-26,-7.9919900000000003e-26,-6.3553600000000006e-30,-1.5696900000000001e-30,3.1876100000000002e-30
4626.0,1.0715099999999999e-29,-7.9923400000000001e-26,-7.9925700000000001e-26,-7.99223e-26,-5.7011499999999999e-30,-9.8491199999999992e-31,1.3078500000000001e-30
4627.0,1.23374e-29,-7.9920099999999999e-26,-7.9924199999999996e-26,-7.9919200000000006e-26,-6.5276500000000007e-30,-9.3349700000000005e-31,8.6341800000000004e-32
4628.0,2.3601099999999999e-29,-7.9931800000000004e-26,-7.9925600000000003e-26,-7.9932599999999999e-26,-6.6927099999999995e-30,-4.1154600000000002e-30,1.0454e-29
4629.0,2.0740199999999999e-29,-7.9930000000000006e-26,-7.9924299999999994e-26,-7.9930399999999997e-26,-6.4513400000000005e-30,-3.4558299999999998e-30,8.8438e-30
4630.0,1.8210299999999999e-29,-7.9931800000000004e-26,-7.9926399999999998e-26,-7.9931800000000004e-26,-6.3705600000000002e-30,-2.8075100000000001e-30,7.2203599999999997e-30
4631.0,1.5796899999999999e-29,-7.9930700000000003e-26,-7.9925299999999997e-26,-7.9930100000000004e-26,-6.1852499999999998e-30,-2.2286200000000001e-30,5.5988299999999997e-30
4632.0,1.3547899999999999e-29,-7.99331e-26,-7.9927800000000004e-26,-7.9932199999999996e-26,-5.9830299999999999e-30,-1.7093599999999999e-30,3.7961199999999997e-30
4633.0,1.2067e-29,-7.9931200000000004e-26,-7.9926700000000003e-26,-7.9929899999999996e-26,-6.0445400000000002e-30,-1.3048e-30,2.1933100000000001e-30
4634.0,1.10013e-29,-7.99348e-26,-7.9928799999999995e-26,-7.9932599999999999e-26,-5.51269e-30,-6.0492799999999998e-31,5.1042800000000004e-31
4635.0,2.6027499999999998e-29,-7.99388e-26,-7.9927499999999999e-26,-7.9939399999999999e-26,-6.5423299999999996e-30,-4.07357e-30,1.10161e-29
4636.0,2.34907e-29,-7.9939900000000001e-26,-7.9928799999999995e-26,-7.9940099999999997e-26,-6.3951e-30,-3.4177700000000003e-30,9.4712099999999998e-30
4637.0,2.11092e-29,-7.9939399999999999e-26,-7.9928199999999996e-26,-7.9938899999999998e-26,-6.1906199999999997e-30,-2.8689200000000001e-30,7.8396600000000004e-30
4638.0,1.9154999999999999e-29,-7.9941799999999997e-26,-7.99303e-26,-7.9941000000000001e-26,-6.0834900000000001e-30,-2.3514999999999999e-30,6.1727100000000003e-30
4639.0,1.71811e-29,-7.9941199999999997e-26,-7.9929600000000002e-26,-7.9939599999999995e-26,-5.9725200000000003e-30,-1.8778600000000001e-30,4.4323199999999999e-30
4640.0,1.6099799999999999e-29,-7.99439e-26,-7.9931499999999998e-26,-7.9941899999999995e-26,-5.7740800000000001e-30,-1.37726e-30,2.6145899999999999e-30
4641.0,1.4474600000000001e-29,-7.99422e-26,-7.9931099999999995e-26,-7.9940400000000002e-26,-5.7635599999999999e-30,-1.01861e-30,6.2512400000000002e-31
4642.0,2.8685699999999999e-29,-7.9946999999999995e-26,-7.9931300000000002e-26,-7.9947499999999996e-26,-6.5611299999999996e-30,-3.97609e-30,1.14194e-29
