Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
60.0,2506.25,1132.0,388.863,2417.5300000000002,-1012.38,58.492899999999999,-109.69
61.0,2561.0999999999999,1218.0599999999999,412.02100000000002,2452.5700000000002,-1053.4300000000001,119.748,-78.026399999999995
62.0,2612.48,1305.02,428.59199999999998,2473.04,-1091.2,174.85900000000001,-41.322099999999999
63.0,2659.3400000000001,1400.48,447.45800000000003,2488.9499999999998,-1124.4200000000001,222.69900000000001,0.093159199999999998
64.0,2700.98,1492.1900000000001,458.51600000000002,2491.4299999999998,-1152.1600000000001,262.50900000000001,45.778700000000001
65.0,2736.48,1587.5699999999999,470.839,2490.9699999999998,-1173.3,294.03500000000003,94.862300000000005
66.0,2765.5100000000002,1673.54,473.47399999999999,2478.8499999999999,-1186.9000000000001,317.54399999999998,146.351
67.0,2787.6999999999998,1760.01,478.57400000000001,2468.48,-1192.5,333.52199999999999,199.57300000000001
68.0,2803.4099999999999,1827.5599999999999,468.52199999999999,2443.0799999999999,-1190.26,343.55000000000001,253.33000000000001
69.0,2811.0999999999999,1898.1400000000001,465.53100000000001,2426.52,-1178.8499999999999,348.62599999999998,305.56099999999998
70.0,2811.4499999999998,1950.4200000000001,449.053,2399.3699999999999,-1158.54,350.42500000000001,355.67200000000003
71.0,2803.8299999999999,1998.4300000000001,435.22000000000003,2376.0900000000001,-1130.0599999999999,349.892,402.68700000000001
72.0,2790.0700000000002,2027.98,407.62700000000001,2340.0999999999999,-1094.52,348.95999999999998,445.92500000000001
73.0,2767.9400000000001,2056.8800000000001,386.95100000000002,2309.3800000000001,-1052.6900000000001,347.63600000000002,483.19299999999998
74.0,2741.1700000000001,2066.6199999999999,345.32499999999999,2256.8200000000002,-1004.24,347.97399999999999,516.029
75.0,2717.1900000000001,2069.4699999999998,295.22800000000001,2193.5999999999999,-957.36099999999999,350.38200000000001,542.10000000000002
76.0,2686.2600000000002,2079.02,262.99000000000001,2137.2199999999998,-911.24599999999998,351.25099999999998,562.04899999999998
77.0,2648.1900000000001,2122.6999999999998,261.88200000000001,2106.3899999999999,-858.10799999999995,349.78899999999999,578.58399999999995
78.0,2618.7399999999998,2135.6900000000001,214.99299999999999,2030.4100000000001,-806.78899999999999,348.178,589.76300000000003
79.0,1491.78,175.04900000000001,-33.563600000000001,1285.72,-253.01499999999999,-414.09800000000001,-58.106200000000001
80.0,1523.54,163.68700000000001,-22.196999999999999,1364.6900000000001,-279.23899999999998,-351.88999999999999,-72.044899999999998
81.0,1560.1300000000001,176.31,3.8910499999999999,1453.52,-309.04399999999998,-285.37400000000002,-85.555700000000002
82.0,1597.79,183.15100000000001,15.670400000000001,1519.5799999999999,-341.74700000000001,-213.57400000000001,-96.246799999999993
83.0,1637.78,217.09100000000001,44.518000000000001,1594.6700000000001,-377.13900000000001,-138.53999999999999,-104.55800000000001
84.0,1678.6500000000001,245.07400000000001,57.354399999999998,1644.04,-414.60199999999998,-61.208300000000001,-109.51300000000001
85.0,1720.2,301.17399999999998,87.622200000000007,1701.0699999999999,-453.56799999999998,16.697399999999998,-110.803
86.0,1761.3299999999999,350.51900000000001,100.80500000000001,1730.47,-493.23500000000001,93.636399999999995,-107.892
87.0,1800.99,426.69299999999998,130.65000000000001,1765.8800000000001,-532.65700000000004,167.863,-100.523
88.0,1838.1700000000001,493.79500000000002,142.286,1772.4200000000001,-570.89099999999996,237.83699999999999,-88.533500000000004
89.0,1871.5799999999999,585.42100000000005,170.21000000000001,1784.8,-606.84199999999998,301.96499999999997,-72.060199999999995
90.0,1900.7,664.02700000000004,178.41999999999999,1767.8299999999999,-639.61400000000003,359.26100000000002,-51.409799999999997
91.0,1924.6900000000001,763.58799999999997,202.351,1758.04,-668.23000000000002,408.49599999999998,-27.1511
92.0,1943.9300000000001,846.12,205.92099999999999,1720.1500000000001,-692.40700000000004,449.89999999999998,0.165911
93.0,1958.6600000000001,944.33399999999995,222.43799999999999,1691.01,-710.96000000000004,482.959,28.9709
94.0,1968.4200000000001,1029.6099999999999,224.048,1644.8499999999999,-723.10199999999998,507.483,58.764699999999998
95.0,1974.3199999999999,1118.6400000000001,231.202,1601.9400000000001,-729.53200000000004,525.04700000000003,89.893299999999996
