Label,U_Magnitude,U_U1,U_U2,U_U3
2635.0,0.0022896599999999998,0.000129171,0.0022163700000000001,-0.00055995100000000005
2636.0,0.0022078499999999999,-6.8898599999999996e-06,0.0021759499999999998,-0.00037389299999999998
2637.0,0.00214986,-1.7448e-05,0.00211896,-0.000362767
2638.0,0.00208684,-1.8028300000000002e-05,0.0020579600000000002,-0.000345504
2639.0,0.0020355899999999999,-2.0955299999999999e-05,0.0020107300000000001,-0.00031652699999999999
2640.0,0.0020015699999999998,-5.3661000000000002e-06,0.0019804100000000002,-0.000290196
2641.0,0.00202965,1.19696e-05,0.00200899,-0.00028859699999999997
2642.0,0.0019821299999999999,-0.0002186,0.00195627,-0.00023252400000000001
2643.0,0.00191596,-0.00020794499999999999,0.0018933800000000001,-0.000206796
2644.0,0.0018530199999999999,-0.000197975,0.00183494,-0.00016571500000000001
2645.0,0.00179989,-0.00017014800000000001,0.0017874399999999999,-0.000125454
2646.0,0.0017732799999999999,-0.000137038,0.0017660099999999999,-8.3381700000000002e-05
2647.0,0.0017883300000000001,-8.08285e-05,0.0017857000000000001,-5.3717000000000001e-05
2648.0,0.0018027799999999999,-0.00039749700000000002,0.00175402,-0.000124158
2649.0,0.0017342900000000001,-0.00038043499999999999,0.00169012,-8.0779599999999995e-05
2650.0,0.0016631599999999999,-0.00034943000000000002,0.0016257000000000001,-3.33049e-05
2651.0,0.00160995,-0.00030980200000000003,0.00157971,2.2226600000000002e-05
2652.0,0.00157588,-0.00024721900000000002,0.0015547099999999999,7.18043e-05
2653.0,0.0015982699999999999,-0.00017543999999999999,0.0015854700000000001,9.9728099999999998e-05
2654.0,0.00168446,-0.00054848799999999997,0.0015920699999999999,-4.3299400000000001e-05
2655.0,0.00160506,-0.00052412599999999998,0.0015170699999999999,3.5005300000000002e-06
2656.0,0.0015249300000000001,-0.00048867400000000003,0.0014431400000000001,6.2868700000000003e-05
2657.0,0.0014581399999999999,-0.00042727999999999999,0.0013890300000000001,0.000119225
2658.0,0.00142026,-0.000352507,0.00136469,0.000174659
2659.0,0.0014089300000000001,-0.00025303599999999999,0.00136761,0.00022517500000000001
2660.0,0.00099786199999999997,-0.000366265,0.00088199600000000002,0.00028924400000000002
2661.0,0.00077401300000000004,-0.00041242200000000002,0.00060513899999999998,0.00025062100000000003
2662.0,0.00059694399999999997,-0.00046104099999999998,0.00032424299999999999,0.000196594
