Label,X,Y,Z
299773.0,-2815745.5,0.0,1430724.75
299774.0,-2504243.0,0.0,1393006.25
299775.0,-2666933.0,0.0,1755436.88
299776.0,-2392465.25,0.0,1711051.38
299777.0,-2491317.25,0.0,2050126.0
299778.0,-2274942.5,0.0,1990438.25
299779.0,-2296256.5,0.0,2296256.5
299780.0,-2186815.5,0.0,2186815.5
299781.0,-2309305.5,0.0,355692.062
299782.0,-1929724.25,0.0,362729.344
299783.0,-1546591.75,0.0,372778.094
299784.0,-1161168.62,0.0,381426.875
299785.0,-774604.375,0.0,386141.719
299786.0,-387411.812,0.0,387411.812
299787.0,-2287467.75,0.0,709142.5
299788.0,-1916796.0,0.0,724205.0
299789.0,-1538818.12,0.0,745248.938
299790.0,-1156497.5,0.0,762467.375
299791.0,-771921.312,0.0,771921.312
299792.0,-386141.719,0.0,774604.375
299793.0,-2245746.0,0.0,1058110.25
299794.0,-1887310.75,0.0,1082910.12
299795.0,-1517760.25,0.0,1115527.75
299796.0,-1141789.25,0.0,1141789.25
299797.0,-762467.375,0.0,1156497.5
299798.0,-381426.875,0.0,1161168.62
299799.0,-2180847.5,0.0,1399292.75
299800.0,-1838690.25,0.0,1435810.12
299801.0,-1481365.12,0.0,1481365.12
299802.0,-1115527.75,0.0,1517760.25
299803.0,-745248.938,0.0,1538818.12
299804.0,-372778.094,0.0,1546591.75
299805.0,-2098720.0,0.0,1725649.25
299806.0,-1777570.5,0.0,1777570.5
299807.0,-1435810.12,0.0,1838690.25
299808.0,-1082910.12,0.0,1887310.75
299809.0,-724205.0,0.0,1916796.0
299810.0,-362729.344,0.0,1929724.25
299811.0,-2022866.0,0.0,2022866.0
299812.0,-1725649.25,0.0,2098720.0
299813.0,-1399292.75,0.0,2180847.5
299814.0,-1058110.25,0.0,2245746.0
299815.0,-709142.5,0.0,2287467.75
299816.0,-355692.062,0.0,2309305.5
299817.0,-1990438.25,0.0,2274942.5
299818.0,-1711051.38,0.0,2392465.25
299819.0,-1393006.25,0.0,2504243.0
299820.0,-1056445.12,0.0,2591432.5
299821.0,-709444.688,0.0,2650723.5
299822.0,-356113.688,0.0,2686086.0
299823.0,-2050126.0,0.0,2491317.25
299824.0,-1755436.88,0.0,2666933.0
299825.0,-1430724.75,0.0,2815745.5
299826.0,-1087448.25,0.0,2931551.0
299827.0,-731521.312,0.0,3013717.5
299828.0,-367557.344,0.0,3064918.75
299829.0,-2449834.5,-2449769.0,327630.656
299830.0,-2706718.5,-2161554.75,334300.562
299831.0,-2929966.75,-1845513.62,346084.938
299832.0,-3116879.75,-1505567.62,358784.25
299833.0,-3264929.0,-1146181.25,370010.281
299834.0,-3372044.25,-772223.938,378665.875
299835.0,-3436763.5,-388593.5,384775.469
299836.0,-2416801.75,-2416744.25,654841.125
299837.0,-2666957.25,-2133586.75,667492.438
299838.0,-2883504.5,-1822023.5,689950.688
299839.0,-3064435.5,-1486376.25,714367.25
299840.0,-3207582.25,-1131400.12,736036.938
299841.0,-3311025.5,-762150.188,752753.125
299842.0,-3373220.25,-383487.5,764671.438
299843.0,-2361684.25,-2361729.25,977282.688
299844.0,-2601408.25,-2086182.62,995448.5
299845.0,-2807188.25,-1781594.12,1027626.62
299846.0,-2978193.75,-1453065.75,1062714.25
299847.0,-3113071.0,-1105727.25,1093872.25
299848.0,-3210325.5,-744681.312,1117881.75
299849.0,-3268272.0,-374596.219,1135110.38
299850.0,-2285006.0,-2285237.0,1291061.75
299851.0,-2510631.75,-2019926.0,1314164.0
299852.0,-2701723.75,-1724891.38,1354931.25
299853.0,-2859070.25,-1406320.5,1399421.38
299854.0,-2982525.25,-1069773.62,1438932.75
299855.0,-3071237.75,-720268.438,1469391.5
299856.0,-3123286.5,-362157.25,1491416.75
299857.0,-2189112.25,-2189590.25,1588673.12
299858.0,-2394889.5,-1940647.75,1615175.25
299859.0,-2566423.0,-1660047.38,1663765.5
299860.0,-2706725.0,-1354830.62,1717111.88
299861.0,-2816466.25,-1031492.69,1764636.25
299862.0,-2895106.75,-695300.438,1801475.5
299863.0,-2940135.25,-350508.562,1828428.0
299864.0,-2090343.38,-2084995.62,1842188.38
299865.0,-2256358.25,-1869841.62,1876949.5
